,t,x,y,x0,y0,vx,vy,r,theta,angle,omega,alpha
338,11.27793333,0.5313130715,0.04981568338,0.48650741880000004,0.8463572572,0.04480565269999992,-0.79654157382,0.7978007428785182,-0.05619102294463191,-3.2195084612501796,0.16009023317527488,1.944255155952086
339,11.3113,0.5269413736,0.04928408084,0.48650907600000004,0.8463626397,0.0404322976,-0.79707855886,0.7981033765644331,-0.05068217175780539,-2.9038745382793856,0.16510041867608002,0.15015539461400326
340,11.34466667,0.5222815956,0.048650507249999995,0.48650611299999996,0.8463631197,0.03577548260000002,-0.79771261245,0.7985144314394492,-0.04481755183676082,-2.5678565683551855,0.17576281723781106,0.3195523725241577
341,11.37803333,0.5168292292000001,0.047549896189999996,0.4865044524,0.8463731335,0.030324776800000064,-0.7988232373099999,0.7993986218116705,-0.0379435912277395,-2.174007636919087,0.20601284662659056,0.9065944685138011
342,11.4114,0.5107498047,0.04688555834,0.48650450479999996,0.8463693006999999,0.024245299900000017,-0.79948374236,0.7998512917193994,-0.030316903384810134,-1.7370306118555006,0.22857204039027798,0.6760996456549775
343,11.44476667,0.5051104182,0.04641202124,0.4865034379,0.846369336,0.01860698030000002,-0.79995731476,0.8001736843672842,-0.02325577305854583,-1.332457645568722,0.21162226635934644,-0.5079851849444909
344,11.47813333,0.49814022909999994,0.04502227686000001,0.4865032983,0.8463739198000001,0.011636930799999945,-0.80135164294,0.8014361320785839,-0.014520607795957449,-0.8319695426731223,0.2617932170192721,1.5036251953274617
345,11.5115,0.491565335,0.044570218849999996,0.4865049249,0.8463767745,0.005060410099999968,-0.80180655565,0.8018225242743539,-0.006311176775967941,-0.36160379302394485,0.24603686912687522,-0.47221817137871785
346,11.54486667,0.4848782323,0.04412191926,0.48650019409999995,0.8463813653,-0.0016219617999999603,-0.80225944604,0.8022610856326563,0.002021739473583103,0.1158371391113126,0.2497377247879747,0.1109147439975143
347,11.57823333,0.4786086208,0.04398654984,0.48650036869999996,0.8463854259999999,-0.007891747899999968,-0.8023988761599998,0.8024376836538448,0.009834876007781386,0.5634968872803456,0.23415998287506692,-0.4668654852750494
348,11.6116,0.47178336340000004,0.04313506921,0.48650110729999996,0.846385987,-0.014717743899999913,-0.80325091779,0.8033857410459706,0.018320672757978728,1.0496972268724831,0.25431955751645197,0.6041829958274335
349,11.64496667,0.46534492759999996,0.042438815,0.4864942653,0.8463811684999999,-0.021149337700000048,-0.8039423534999999,0.80422049354407,0.026300966434801055,1.5069343738293401,0.23916961677092813,-0.4540441328284562
350,11.67833333,0.4598319062,0.04237862414,0.4864973975,0.8463868814,-0.02666549130000001,-0.8040082572599999,0.8044503254822715,0.0331535410078383,1.8995579756630363,0.20537190635914776,-1.0129185963408303
351,11.7117,0.4543650887,0.042331527970000005,0.4865016896,0.8463927473999999,-0.032136600900000034,-0.8040612194299999,0.8047031786371074,0.03994659178134383,2.288771115002983,0.20358791493143533,-0.05346627121353033
352,11.74506667,0.4501174867,0.04223469721,0.48650357689999996,0.8463948137999999,-0.03638609019999994,-0.80416011659,0.804982882224265,0.04521647938616123,2.5907134332673256,0.15793867367698003,-1.36810899183095
353,11.77843333,0.4458141306,0.04215703736,0.4865032987,0.8463992253,-0.04068916809999995,-0.80424218794,0.8052708272768785,0.050550076814892604,2.896306055555461,0.1598481067248356,0.05722577710371802
354,11.8118,0.4417466362,0.04212065206999999,0.4865021739,0.846388246,-0.044755537700000014,-0.8042675939299999,0.8055118998505033,0.055590236681219055,3.1850859439671884,0.15105372715726587,-0.2635677928774393
355,11.84516667,0.4388931311,0.04221894411,0.4865007371,0.8463852890000001,-0.047607606000000025,-0.80416634489,0.8055743258091048,0.05913217444167985,3.3880240289396104,0.10615197022840002,-1.3457068664288805
356,11.87853333,0.4364844136,0.042257864000000006,0.4865078171,0.8463835193000001,-0.05002340350000001,-0.8041256553000001,0.805680091853695,0.06212838034650222,3.559693981838108,0.08979639870524447,-0.4901770666634099
357,11.9119,0.43448591200000003,0.042240005549999994,0.4865052661,0.8463811579,-0.05201935409999997,-0.80414115235,0.805821944416859,0.06459932268197591,3.7012685490809494,0.07405420845034057,-0.47179386660113665
358,11.94526667,0.4340913724,0.04232063621999999,0.4865080972,0.8463777142,-0.05241672479999998,-0.8040570779799999,0.8057637977028347,0.06509819002804082,3.729851542547361,0.014951067819021018,-1.7713227190881593
359,11.97863333,0.4340875244,0.04235402653,0.4865162205,0.8463809940000001,-0.052428696100000005,-0.8040269674700001,0.8057345298507138,0.06511544719918717,3.7308403056203825,0.00051719803979045,-0.4325835962973563
360,12.012,0.4344393695,0.04238785316,0.48651105060000005,0.8463846023,-0.052071681100000045,-0.80399674914,0.8056812226931122,0.06467570489995594,3.7056449278010537,-0.013179088570457086,-0.4104780791804222
361,12.04536667,0.4364702053,0.04239535301,0.4865118068,0.846370629,-0.05004160149999998,-0.8039752759900001,0.8055311330320396,0.062162518944375834,3.5616499794147605,-0.07532025088449486,-1.8623723108730574
362,12.07873333,0.43889524700000004,0.042429370460000004,0.4865128763,0.8463663711,-0.047617629299999964,-0.80393700064,0.8053459751052287,0.059161428332947505,3.3897001534435813,-0.08994279353786955,-0.438238129119741
363,12.1121,0.4421617439,0.0425072205,0.4865180267,0.8463647777,-0.04435628279999998,-0.8038575572,0.8050804010105976,0.055123381609699866,3.15833711872486,-0.12102036922616793,-0.9313957817276601
364,12.14546667,0.4459058673,0.042568117,0.4865226051,0.8463615245,-0.040616737800000025,-0.8037934075000001,0.804818961835502,0.05048837156715849,2.8927706052864877,-0.1389113760090967,-0.536193955912563
365,12.17883333,0.45052802880000004,0.04262472597,0.48652154729999997,0.8463612758,-0.03599351849999993,-0.80373654983,0.804542090202024,0.044752830806633885,2.564148326483173,-0.17189436283177673,-0.9885013010795685
366,12.2122,0.4553068335,0.04279266086,0.48651774049999996,0.8463655108,-0.031210906999999954,-0.80357284994,0.8041787400052656,0.038820657885071976,2.2242598547358847,-0.17778738248563614,-0.17661395799639285
367,12.24556667,0.46051156950000005,0.043010892,0.4865216357,0.8463646964,-0.02601006619999996,-0.8033538044,0.8037747561274128,0.03236554470546553,1.854409113265162,-0.19345991612606836,-0.469706255986337
368,12.27893333,0.4670690964,0.04365453626,0.4865176226,0.8463764005,-0.019448526199999983,-0.8027218642399999,0.8029574313127023,0.024223486282027744,1.3879035290532358,-0.24401778372297714,-1.5152211098417045
369,12.3123,0.4732764522,0.04454126983,0.48652320460000004,0.8464084384999999,-0.013246752400000061,-0.80186716867,0.8019765786106157,0.016518381189466518,0.9464335265447201,-0.23092220747713016,0.3924747733545626
370,12.34566667,0.47942596020000006,0.0447980482,0.4865239225,0.8464131531,-0.007097962299999927,-0.8016151049,0.8016465290092948,0.008854345138437516,0.5073166067846483,-0.2296913671945423,0.03688831647233217
371,12.37903333,0.4860772073,0.045201374919999995,0.4865226123,0.8464127625,-0.0004454050000000098,-0.80121138758,0.8012115113835316,0.0005559144078849715,0.03185154934232304,-0.2487042673900365,-0.5698173025257534
372,12.4124,0.4929980737,0.04627162399,0.4865267735,0.8464190322,0.006471300199999974,-0.8001474082100001,0.8001735765391526,-0.008087458690196834,-0.4633772499346794,-0.25904212491333234,-0.3098258688474453
373,12.44576667,0.4988946332,0.047046762310000004,0.4865289532,0.8464108884999999,0.01236567999999999,-0.7993641261899999,0.7994597652673737,-0.015468161953144776,-0.886260396740032,-0.22119987589256151,1.134133223985834
374,12.47913333,0.5049886238,0.04758205531,0.48651957450000005,0.8464093233,0.01846904929999993,-0.7988272679899999,0.7990407435584327,-0.023116085612289942,-1.324454144447299,-0.2292085470689924,-0.24002016313382243
375,12.5125,0.5108922872999999,0.048627025610000006,0.48652050189999996,0.8464083101000001,0.024371785399999957,-0.7977812844900001,0.7981534700833531,-0.0305399591378372,-1.7498107651000638,-0.2224936898272249,0.20124445267590732
376,12.54586667,0.5166056115,0.0495097041,0.486519232,0.8464056279000001,0.030086379499999927,-0.7968959238000001,0.7974636691414058,-0.03773654222195664,-2.1621446027353493,-0.21568178916622988,0.20415284656799015
