,t,f,e,s
655,6.55,4739.537143863061,0.0014251953119999998,259102387.42158297
656,6.56,4738.04390309838,0.0014374023439999999,259020754.50356162
657,6.57,4751.4830477394,0.001452661133,259755449.5498703
658,6.58,4775.374851043861,0.001492333984,261061573.5632686
659,6.59,4803.746372194139,0.0014831787110000001,262612596.08755407
660,6.6,4788.813995684879,0.0014770751949999999,261796268.6095772
661,6.61,4800.759895113,0.0014801269529999999,262449330.4946881
662,6.62,4815.692276070479,0.00147097168,263265658.21584144
663,6.63,4836.597606742021,0.001464868164,264408516.87955034
664,6.64,4841.0773201396205,0.0014984375,264653415.14726105
665,6.65,4847.0502743019,0.001544213867,264979946.332993
666,6.66,4829.13141626328,0.001507592773,264000353.0189736
667,6.67,4879.9015044015605,0.001495385742,266775866.8818127
668,6.68,4885.874458563841,0.001507592773,267102398.0675447
669,6.69,4873.9285546875,0.0014831787110000001,266449335.93925723
670,6.7,4887.3676948803,0.001519799805,267184030.74238938
671,6.71,4929.17835622338,0.001495385742,269469748.06980705
672,6.72,4920.21892942818,0.001501489258,268979951.53438556
673,6.73,4927.685119906921,0.001519799805,269388115.3949623
674,6.74,4942.6175008643995,0.0015045410160000002,270204443.1161157
675,6.75,4944.110737180861,0.001522851562,270286075.7909605
676,6.76,4965.0160678524,0.001535058594,271428934.45466924
677,6.77,4993.387589002679,0.001547265625,272979956.97895473
678,6.78,4987.414634840399,0.0014801269529999999,272653425.7932227
679,6.79,4963.52283153594,0.001544213867,271347301.77982455
680,6.8,5011.30644259308,0.001553369141,273959550.0497976
681,6.81,5021.759110152961,0.001528955078,274530979.50324035
682,6.82,5027.73205986702,0.001562524414,274857510.4457957
683,6.83,5048.637390538561,0.0015716796869999997,276000369.1095046
684,6.84,5082.9818614029,0.001556420898,277877922.57634544
685,6.85,5082.9818614029,0.0015716796869999997,277877922.57634544
686,6.86,5090.448051881639,0.001577783203,278286086.43692213
687,6.87,5102.39395575798,0.0015716796869999997,278939148.56520957
688,6.88,5111.3533825531795,0.001519799805,279428945.10063094
689,6.89,5147.1910941822,0.0016083007810000001,281388131.4854932
690,6.9,5120.31280934838,0.001614404297,279918741.6360524
691,6.91,5118.81957303192,0.001626611328,279837108.9612077
692,6.92,5156.1505209773995,0.0016083007810000001,281877928.0209146
693,6.93,5196.467946004021,0.0016083007810000001,284082012.6734876
694,6.94,5166.60318408906,0.0016052490230000001,282449357.2311807
695,6.95,5193.481468922879,0.0016357666019999998,283918747.0806215
696,6.96,5211.40032251328,0.0016205078119999998,284898340.1514644
697,6.97,5230.812416868361,0.0016357666019999998,285959566.1403285
698,6.98,5229.3191805519,0.0016540771480000002,285877933.4654838
699,6.99,5224.83946270608,0.0016418701169999999,285633034.95459646
700,7.0,5227.825939787221,0.0016174560550000002,285796300.5474625
